country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
Belgium,1900,Europe,0.0496659999999999,49.666,0.0,0.0,7.406,39957893120.0,5958.540199973546,0.001
Belgium,1901,Europe,0.046709,46.709,0.0,0.0,6.893,40316329984.0,5949.63540910197,0.001
Belgium,1902,Europe,0.048856,48.856,0.0,0.0,7.133,41141878784.0,6007.0186901150655,0.001
Belgium,1903,Europe,0.05263,52.63,0.0,0.0,7.601,42072961024.0,6076.284721566303,0.001
Belgium,1904,Europe,0.050351,50.351,0.0,0.0,7.193,43160825856.0,6165.7371366270345,0.001
Belgium,1905,Europe,0.050266,50.266,0.0,0.0,7.103,44398899200.0,6273.756677336086,0.001
Belgium,1906,Europe,0.057495,57.495,0.0,0.0,8.036,45318950912.0,6334.253803156131,0.001
Belgium,1907,Europe,0.058324,58.324,0.0,0.0,8.063,45994582016.0,6358.907496168653,0.001
Belgium,1908,Europe,0.057847,57.847,0.0,0.0,7.911,46459559936.0,6353.471897039412,0.001
Belgium,1909,Europe,0.0577629999999999,57.763,0.0,0.0,7.83,47335739392.0,6416.405162919383,0.001
Belgium,1910,Europe,0.0612879999999999,61.288,0.0,0.0,8.252,48572043264.0,6539.5596779392245,0.001
Belgium,1911,Europe,0.061687,61.687,0.0,0.0,8.266,49702404096.0,6660.150321299859,0.001
Belgium,1912,Europe,0.064776,64.776,0.0,0.0,8.657,50883358720.0,6800.008061112642,0.001
Belgium,1913,Europe,0.068015,66.82,0.0,1.194,9.083,51569180672.0,6887.10204010769,0.001
Belgium,1914,Europe,0.040575,40.575,0.0,0.0,5.415,48291917824.0,6445.155271357754,0.001
Belgium,1915,Europe,0.03442,34.42,0.0,0.0,4.591,47717851136.0,6364.325938050127,0.001
Belgium,1916,Europe,0.045793,45.793,0.0,0.0,6.104,50476285952.0,6727.777268596015,0.001
Belgium,1917,Europe,0.0362479999999999,36.248,0.0,0.0,4.828,43351961600.0,5774.382455409399,0.001
Belgium,1918,Europe,0.0337229999999999,33.723,0.0,0.0,4.489,34929598464.0,4649.205674678308,0.001
Belgium,1919,Europe,0.044869,44.869,0.0,0.0,5.961,41206456320.0,5474.146392139613,0.001
Belgium,1920,Europe,0.055154,55.154,0.0,0.0,7.304,47690878976.0,6315.812757680146,0.001
Belgium,1921,Europe,0.0505339999999999,50.534,0.0,0.0,6.663,48513359872.0,6396.991877793875,0.001
Belgium,1922,Europe,0.055909,55.271,0.0,0.638,7.332,53254414336.0,6983.470196167448,0.001
Belgium,1923,Europe,0.071884,70.939,0.0,0.945,9.363,55170510848.0,7186.364510603599,0.001
Belgium,1924,Europe,0.0762549999999999,75.156,0.0,1.099,9.866,56977850368.0,7372.162343778788,0.001
Belgium,1925,Europe,0.07804,76.871,0.0,1.169,10.03,57860202496.0,7436.272676600255,0.001
