country,year,region,co2,coal_co2,gas_co2,oil_co2,co2_per_capita,gdp,gdp_per_capita,temperature_change_from_co2
Canada,1992,North America,0.463497,106.721,132.662,203.27,16.263,829742120960.0,29113.692230526492,0.02
Canada,1993,North America,0.46416,98.808,137.763,206.551,16.1,853776007168.0,29613.499916599132,0.02
Canada,1994,North America,0.478631,102.481,140.978,211.68,16.421,894851940352.0,30700.937063644345,0.02
Canada,1995,North America,0.4914139999999999,104.309,148.261,214.36,16.681,921360072704.0,31275.868807014573,0.02
Canada,1996,North America,0.507729,106.238,155.033,221.116,17.057,938872537088.0,31540.494963686553,0.021
Canada,1997,North America,0.5220220000000001,113.044,153.691,229.102,17.367,981728100352.0,32659.944074548905,0.021
Canada,1998,North America,0.529636,119.192,150.444,232.034,17.462,1022474584064.0,33711.69346647514,0.021
Canada,1999,North America,0.543866,119.515,162.93,234.96,17.774,1078414934016.0,35242.94234283496,0.022
Canada,2000,North America,0.566261,128.952,173.423,237.231,18.33,1137681367040.0,36827.94032850141,0.022
Canada,2001,North America,0.55836,126.48,165.5,241.069,17.888,1161459924992.0,37210.08729605069,0.022
Canada,2002,North America,0.563729,123.972,171.755,242.086,17.876,1199865593856.0,38047.99511713437,0.023
Canada,2003,North America,0.580792,123.102,174.245,257.945,18.243,1224575811584.0,38464.54311927159,0.023
Canada,2004,North America,0.579163,115.514,170.262,266.975,18.024,1265917231104.0,39396.56546245131,0.023
Canada,2005,North America,0.572855,116.624,169.2,260.961,17.659,1310077878272.0,40384.42946256791,0.024
Canada,2006,North America,0.568173,114.03,168.452,259.202,17.344,1348293361664.0,41157.733759221155,0.024
Canada,2007,North America,0.591889,118.821,180.77,265.861,17.886,1379925884928.0,41699.46550888229,0.024
Canada,2008,North America,0.57577,112.68,181.2,257.097,17.213,1397938716672.0,41793.028105249745,0.025
Canada,2009,North America,0.542811,93.362,174.223,253.423,16.047,1360538107904.0,40221.22823481291,0.025
Canada,2010,North America,0.5547340000000001,95.844,178.268,257.905,16.222,1406355374080.0,41125.22868899729,0.025
Canada,2011,North America,0.56332,86.835,193.976,259.433,16.302,1454221426688.0,42083.70681579896,0.026
Canada,2012,North America,0.564221,81.544,197.213,260.897,16.156,1479829618688.0,42374.66132699733,0.026
Canada,2013,North America,0.5688540000000001,79.249,204.25,260.549,16.118,1514296442880.0,42905.91398849984,0.026
Canada,2014,North America,0.566469,76.962,211.465,253.107,15.897,1557757558784.0,43715.15895680744,0.026
Canada,2015,North America,0.565644,73.719,213.612,254.034,15.729,1568025739264.0,43602.009042596794,0.027
Canada,2016,North America,0.5588719999999999,74.001,210.439,252.214,15.373,1583728033792.0,43564.85032648302,0.027
Canada,2017,North America,0.569603,73.401,216.781,255.803,15.475,1631871434752.0,44334.09225456077,0.027
Canada,2018,North America,0.5790789999999999,61.32,231.731,261.649,15.527,1677189185536.0,44970.88940739156,0.028
Canada,2019,North America,0.582025,58.777,234.935,263.306,15.404,1708858146816.0,45228.31081622545,0.028
Canada,2020,North America,0.526582,48.575,224.905,228.175,13.795,1622144450560.0,42495.773279931745,0.028
Canada,2021,North America,0.540312,45.795,230.942,237.083,14.051,1703443300352.0,44298.141443277585,0.029
Canada,2022,North America,0.550612,38.198,239.741,246.265,14.183,1761295597568.0,45369.35683097354,0.029
China,1992,Asia,2.730788,2114.715,30.239,385.793,2.305,3755037425664.0,3169.946887975548,0.041
China,1993,Asia,2.921651,2228.745,35.728,428.549,2.44,4126169366528.0,3446.203821938904,0.043
China,1994,Asia,3.103739,2380.586,41.568,423.712,2.567,4438753280000.0,3671.415962457003,0.044
China,1995,Asia,3.361637,2569.754,42.436,468.23,2.755,4810000039936.0,3942.190224775218,0.046
China,1996,Asia,3.508818,2660.401,44.47,510.622,2.851,5127589593088.0,4165.572284883232,0.047
China,1997,Asia,3.515594,2609.556,44.159,557.961,2.833,5291339415552.0,4263.29103877555,0.049
China,1998,Asia,3.364587,2444.771,50.501,559.262,2.69,5338703069184.0,4268.069997967402,0.051
China,1999,Asia,3.557275,2580.992,54.572,596.751,2.823,5578502963200.0,4426.762679025992,0.053
China,2000,Asia,3.649227,2601.762,59.796,648.686,2.874,5952682590208.0,4688.697941495295,0.054
China,2001,Asia,3.72851,2637.651,67.157,659.3,2.916,6329737412608.0,4950.037834918253,0.056
China,2002,Asia,4.103046,3018.637,53.993,653.086,3.188,6814493573120.0,5295.414697619697,0.058
China,2003,Asia,4.841119,3601.712,60.745,727.099,3.74,7248623435776.0,5599.47970705668,0.06
China,2004,Asia,5.217351,3835.288,71.521,839.093,4.007,7830953263104.0,6014.093652260291,0.063
China,2005,Asia,5.882105999999999,4424.353,84.957,850.173,4.49,8602939555840.0,6566.993389903347,0.065
China,2006,Asia,6.494331,4905.367,103.753,898.534,4.927,9489543593984.0,7199.662022645889,0.068
China,2007,Asia,6.983547,5289.875,129.515,927.351,5.267,10358205972480.0,7812.71675651414,0.071
China,2008,Asia,7.501498,5729.473,149.674,970.118,5.624,10799147909120.0,8096.399619028643,0.075
China,2009,Asia,7.891078,6028.489,164.404,982.348,5.878,11572544012288.0,8619.998704459904,0.078
China,2010,Asia,8.620576,6568.743,199.585,1092.571,6.378,12858808074240.0,9514.038369386504,0.082
China,2011,Asia,9.532332,7309.709,245.99,1123.859,7.008,13691527364608.0,10065.44440478664,0.086
China,2012,Asia,9.779292,7464.744,277.599,1176.712,7.141,14773157625856.0,10787.099345036995,0.091
China,2013,Asia,9.956329,7493.408,320.127,1234.621,7.22,15925464006656.0,11548.492449228248,0.095
China,2014,Asia,9.990257,7424.993,370.222,1255.605,7.198,17103948087296.0,12323.155570236722,0.1
China,2015,Asia,9.863457,7266.92,380.052,1328.805,7.065,18301224747008.0,13108.500041696563,0.104
China,2016,Asia,9.762714,7071.355,421.726,1357.838,6.953,19545710395392.0,13920.924353865352,0.108
China,2017,Asia,10.006343,7163.255,486.359,1430.587,7.085,20894363680768.0,14793.991239892051,0.113
China,2018,Asia,10.332992,7316.367,575.369,1500.474,7.282,22294286041088.0,15711.16647068564,0.117
China,2019,Asia,10.713984,7523.024,630.171,1559.728,7.526,23631939764224.0,16601.0550518788,0.122
China,2020,Asia,10.905693,7679.484,676.473,1523.052,7.647,24151844716544.0,16935.517633959913,0.127
China,2021,Asia,11.447913,8141.342,765.333,1521.11,8.026,26180600201216.0,18353.83906583776,0.132
China,2022,Asia,11.350538,8168.899,760.059,1489.342,7.964,26966017179648.0,18921.136605275005,0.137
Germany,1992,Europe,0.969464,454.311,129.3,357.981,11.978,2204952428544.0,27243.530310168662,0.031
Germany,1993,Europe,0.959386,430.776,136.252,364.629,11.774,2206290935808.0,27075.449619711275,0.031
Germany,1994,Europe,0.943228,418.185,142.15,353.812,11.535,2283952930816.0,27930.19502203229,0.032
Germany,1995,Europe,0.939934,406.046,152.97,351.7,11.46,2347761139712.0,28624.290275346622,0.032
Germany,1996,Europe,0.95969,400.613,169.956,361.057,11.666,2391519789056.0,29071.564617153515,0.032
Germany,1997,Europe,0.931508,386.864,162.876,353.069,11.306,2461046145024.0,29870.82373295251,0.033
